chr1:136,091-137,207 Hypermethylation
chr1:137,688-138,308 Hypermethylation
chr1:163,981-173,281 Hypermethylation
chr1:880,531-893,645 Hypermethylation
chr1:892,010-893,636 Hypermethylation
chr1:896,939-897,562 Hypermethylation
chr1:898,052-901,222 Hypermethylation
chr1:912,287-919,308 Hypermethylation
chr1:917,866-918,877 Hypermethylation
chr1:940,443-946,682 Hypermethylation
chr1:953,616-954,527 Hypermethylation
chr1:28,648-29,796 Hypomethylation
chr1:858,993-861,510 Hypomethylation
chr1:875,087-878,683 Hypomethylation
chr1:893,998-894,845 Hypomethylation
chr1:895,627-896,729 Hypomethylation
chr1:901,827-902,892 Hypomethylation
chr1:911,406-912,171 Hypomethylation
chr1:934,245-937,606 Hypomethylation
chr1:948,548-949,067 Hypomethylation
chr1:954,645-956,704 Hypomethylation
